,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week
0,A.Cooper,Amari Cooper,OAK,WR,6.7,2.1,14.6,31.56,2,10,20,10,0,1.3,2,-0.7,2016,POST,18
1,A.Holmes,Andre Holmes,OAK,WR,8.6,1.2,14.8,15.96,4,5,80,50,1,-0.5,0.3,-0.8,2016,POST,18
2,A.Boldin,Anquan Boldin,DET,WR,3.7,3.2,4.9,11.8,2,6,33.33,24,0,11.1,10.4,0.7,2016,POST,18
3,A.Brown,Antonio Brown,PIT,WR,5.8,2.6,7.5,68.8,5,9,55.56,124,2,21.1,8,13.2,2016,POST,18
4,D.Adams,Davante Adams,GB,WR,3.9,2.9,10.5,24.13,8,12,66.67,125,1,5.8,8.7,-2.8,2016,POST,18
5,D.Hopkins,DeAndre Hopkins,HOU,WR,3,2.1,10.8,41.89,5,9,55.56,67,1,4.2,3.8,0.4,2016,POST,18
6,D.Parker,DeVante Parker,MIA,WR,5.1,2.3,10.3,22.87,4,6,66.67,55,0,3.2,4.1,-0.9,2016,POST,18
7,D.Sims,Dion Sims,MIA,TE,3.6,2,6,10.98,5,5,100,34,0,0.8,1.4,-0.5,2016,POST,18
8,D.Baldwin,Doug Baldwin,SEA,WR,5.7,3.5,5.6,32.26,11,12,91.67,104,1,4.3,6,-1.7,2016,POST,18
9,E.Ebron,Eric Ebron,DET,TE,5,1.3,8.3,20.12,2,6,33.33,23,0,5.3,8.9,-3.6,2016,POST,18
10,G.Tate,Golden Tate,DET,WR,6.4,3.2,7.5,15.07,3,5,60,25,0,3.6,6.6,-3,2016,POST,18
11,J.Cook,Jared Cook,GB,TE,4.7,1.5,13.5,23.16,5,9,55.56,48,0,4.1,2.8,1.3,2016,POST,18
12,J.Landry,Jarvis Landry,MIA,WR,7.4,2.5,6.7,34.84,11,14,78.57,102,0,3.9,3,0.9,2016,POST,18
13,K.Stills,Kenny Stills,MIA,WR,5.8,2.5,16.2,29.93,5,5,100,82,0,0.2,2.5,-2.3,2016,POST,18
14,M.Jones,Marvin Jones,DET,WR,5.5,2.5,15.8,44.37,4,7,57.14,81,0,1.5,4.6,-3.2,2016,POST,18
15,M.Crabtree,Michael Crabtree,OAK,WR,5.2,2,10.4,15.82,2,7,28.57,33,0,6.3,7.1,-0.8,2016,POST,18
16,M.Rivera,Mychal Rivera,OAK,TE,4.4,3.9,6.7,7.22,4,5,80,31,0,2.1,3.4,-1.3,2016,POST,18
17,O.Beckham,Odell Beckham,NYG,WR,4.1,2.5,14.1,31.29,4,11,36.36,28,0,2.8,2.8,0,2016,POST,18
18,R.Cobb,Randall Cobb,GB,WR,4.4,2.6,21.3,28.47,5,7,71.43,116,3,4.2,2.7,1.5,2016,POST,18
19,S.Roberts,Seth Roberts,OAK,WR,7.3,2.8,12.5,18.92,1,7,14.29,1,0,3.4,6.8,-3.4,2016,POST,18
20,S.Shepard,Sterling Shepard,NYG,WR,4,2.1,14.5,26.38,4,9,44.44,63,0,0.7,1.8,-1.1,2016,POST,18
21,T.King,Tavarres King,NYG,WR,8.6,2.7,23,27.78,3,6,50,73,1,9,11.6,-2.6,2016,POST,18
22,W.Fuller,Will Fuller,HOU,WR,6.9,2.8,9.2,19.83,4,5,80,37,0,4.4,4.2,0.1,2016,POST,18
23,W.Tye,Will Tye,NYG,TE,2.4,0.6,6.1,8.56,4,7,57.14,66,0,8.6,3.2,5.5,2016,POST,18
24,A.Brown,Antonio Brown,PIT,WR,4.1,2.8,13.9,59.21,6,11,54.55,108,0,5.2,6.4,-1.2,2016,POST,19
25,C.Fiedorowicz,C.J. Fiedorowicz,HOU,TE,4.1,3.7,13.5,18.98,3,5,60,36,1,2.6,2.4,0.2,2016,POST,19
26,C.Beasley,Cole Beasley,DAL,WR,5.7,3.5,3.8,5.15,4,6,66.67,45,0,7.3,7.8,-0.4,2016,POST,19
27,D.Adams,Davante Adams,GB,WR,5.8,2.6,14.9,32.82,5,10,50,76,0,5.4,5.4,0.1,2016,POST,19
28,D.Hopkins,DeAndre Hopkins,HOU,WR,3.9,2.9,10.8,27.43,6,9,66.67,65,0,2.2,2.5,-0.4,2016,POST,19
29,D.Bryant,Dez Bryant,DAL,WR,3.6,3.2,10.9,29.09,9,12,75,132,2,5.2,7.1,-1.9,2016,POST,19
30,D.Baldwin,Doug Baldwin,SEA,WR,4.3,2.4,16.4,36.08,5,9,55.56,80,1,3,2.6,0.4,2016,POST,19
31,E.Rogers,Eli Rogers,PIT,WR,4.6,2.6,7.7,20.86,5,7,71.43,27,0,1.3,3,-1.8,2016,POST,19
32,G.Allison,Geronimo Allison,GB,WR,4.4,3.6,9.8,10.73,3,5,60,46,0,4.1,5.4,-1.3,2016,POST,19
33,J.Cook,Jared Cook,GB,TE,4.5,2.1,16.4,39.73,6,11,54.55,103,1,1.9,3.5,-1.6,2016,POST,19
34,J.Witten,Jason Witten,DAL,TE,5.9,2.5,12.1,24.27,6,9,66.67,59,1,1.5,1.2,0.2,2016,POST,19
35,J.James,Jesse James,PIT,TE,7.8,5.7,8,18.59,5,6,83.33,83,0,8,8.4,-0.4,2016,POST,19
36,J.Edelman,Julian Edelman,NE,WR,6,2,15.5,41.64,8,13,61.54,137,0,4.9,4,0.9,2016,POST,19
37,J.Jones,Julio Jones,ATL,WR,4.9,2,8.6,21.23,6,8,75,67,1,3.5,3.3,0.3,2016,POST,19
38,M.Sanu,Mohamed Sanu,ATL,WR,2.6,2.1,11.2,17.31,4,5,80,44,1,2.9,3.2,-0.3,2016,POST,19
39,P.Richardson,Paul Richardson,SEA,WR,5.5,3.5,23.4,28.63,4,5,80,83,0,6,6.7,-0.7,2016,POST,19
40,R.Cobb,Randall Cobb,GB,WR,5.9,5.4,5.7,10.1,7,8,87.5,62,0,5.4,5.6,-0.2,2016,POST,19
41,T.Gabriel,Taylor Gabriel,ATL,WR,6.8,3,8.3,15.47,4,6,66.67,71,0,10.2,5.8,4.3,2016,POST,19
42,T.Williams,Terrance Williams,DAL,WR,5.3,2.9,17.6,23.52,4,6,66.67,68,0,5.1,6.1,-1,2016,POST,19
43,T.Kelce,Travis Kelce,KC,TE,5.9,3.2,13.7,38.12,5,7,71.43,77,0,7.8,7,0.8,2016,POST,19
44,T.Hill,Tyreek Hill,KC,WR,11.6,4.2,1.4,3.37,4,6,66.67,27,0,4.3,5.4,-1.1,2016,POST,19
45,W.Fuller,Will Fuller,HOU,WR,4.2,2.1,16.3,27.48,3,6,50,16,0,0.7,0.9,-0.2,2016,POST,19
46,A.Brown,Antonio Brown,PIT,WR,2.9,4.2,7,13.42,7,9,77.78,77,0,4.7,6.1,-1.3,2016,POST,20
47,C.Hogan,Chris Hogan,NE,WR,7.6,4,13.3,58.61,9,12,75,180,2,6.4,7.3,-0.9,2016,POST,20
48,C.Hamilton,Cobi Hamilton,PIT,WR,2.4,2.4,17.2,18.29,2,5,40,37,1,2.7,3.4,-0.7,2016,POST,20
49,E.Rogers,Eli Rogers,PIT,WR,4.5,3.1,7.4,15.75,7,10,70,66,0,3,5.8,-2.8,2016,POST,20
50,J.Cook,Jared Cook,GB,TE,4.6,2.6,10.2,30.93,7,12,58.33,78,1,3,4,-1,2016,POST,20
51,J.James,Jesse James,PIT,TE,6.8,4.1,6.4,9.58,5,7,71.43,48,0,4.2,4.2,0,2016,POST,20
52,J.Nelson,Jordy Nelson,GB,WR,6.5,2.3,15.1,34.52,6,9,66.67,67,1,1.3,2.6,-1.3,2016,POST,20
53,J.Edelman,Julian Edelman,NE,WR,9.8,3.9,6.2,22.81,8,10,80,118,1,8.7,4,4.7,2016,POST,20
54,J.Jones,Julio Jones,ATL,WR,4.9,2.1,11.9,38.48,9,12,75,180,2,9.5,5.8,3.7,2016,POST,20
55,M.Bennett,Martellus Bennett,NE,TE,4.6,5.1,2.3,4.31,5,5,100,32,0,4.1,5.1,-1.1,2016,POST,20
56,M.Sanu,Mohamed Sanu,ATL,WR,6.4,2.8,11,20.79,5,7,71.43,52,1,-0.3,0.9,-1.2,2016,POST,20
57,R.Cobb,Randall Cobb,GB,WR,5.5,2.6,10,22.92,6,9,66.67,82,0,3.6,4.8,-1.3,2016,POST,20
58,S.Coates,Sammie Coates,PIT,WR,3.6,2,21.1,22.42,2,5,40,34,0,4.4,5.2,-0.8,2016,POST,20
59,A.Hooper,Austin Hooper,ATL,TE,5.9,1.6,15.3,31.06,3,6,50,32,1,1.3,1.7,-0.4,2016,POST,22
60,C.Hogan,Chris Hogan,NE,WR,4.1,2.7,18.1,20.27,4,7,57.14,57,0,0.2,1.5,-1.3,2016,POST,22
61,D.Amendola,Danny Amendola,NE,WR,5,2.4,7.5,13.26,8,11,72.73,78,1,2.9,3.1,-0.2,2016,POST,22
62,J.Edelman,Julian Edelman,NE,WR,4.4,1.7,14.9,30.87,5,13,38.46,87,0,0.9,2.9,-2,2016,POST,22
63,M.Mitchell,Malcolm Mitchell,NE,WR,2.5,2.1,12.6,14.06,6,7,85.71,70,0,1.3,3.3,-2,2016,POST,22
64,M.Bennett,Martellus Bennett,NE,TE,4.2,2.1,6.7,6.39,5,6,83.33,62,0,6,5.9,0.1,2016,POST,22
65,T.Gabriel,Taylor Gabriel,ATL,WR,2.8,3.5,17.7,30.05,3,5,60,76,0,3.1,6.3,-3.2,2016,POST,22
